Degree,MSE,R2_Score
1,2813798.067771539,0.23562699257725628
2,1803908.5871542683,0.5099651792103035
3,975129.4238421103,0.7351044416208194
4,448152.49426820345,0.8782586164404163
5,177158.1877599464,0.9518746784573355
6,61112.81560068434,0.983398600209516
7,18673.92947780068,0.9949271954519994
8,5159.182025995857,0.9985984994707972
9,1434.3753339022328,0.999610349512886
10,700.3142305207735,0.9998097584540073
